Sn,Task Name,Activity Type,Planned Start,Planned Finish,Actual Start,Actual Finish,PGMA,Parent WBS Level
3479,Engineering,ENG,2024-02-29,2024-03-29,,,55520,1.9.9.6.1.21(ID FAN EXPN JOINTS (PGMA 55520))
3480,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55520,1.9.9.6.1.21(ID FAN EXPN JOINTS (PGMA 55520))
3481,Dispatch,DIS,2024-07-08,2024-11-04,,,55520,1.9.9.6.1.21(ID FAN EXPN JOINTS (PGMA 55520))
3482,ID FAN DIFFUSER (PGMA 55827),SUP,2024-02-29,2024-11-04,,,55827,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3483,Engineering,ENG,2024-02-29,2024-03-29,,,55827,1.9.9.6.1.22(ID FAN DIFFUSER (PGMA 55827))
3484,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55827,1.9.9.6.1.22(ID FAN DIFFUSER (PGMA 55827))
3485,Dispatch,DIS,2024-07-08,2024-11-04,,,55827,1.9.9.6.1.22(ID FAN DIFFUSER (PGMA 55827))
3486,ID FAN SUCTION BOX (PGMA 55727),SUP,2024-02-29,2024-11-04,,,55727,1.9.9.6.1(Fans (PG - 55 & 56) - BHEL BAP)
3487,Engineering,ENG,2024-02-29,2024-03-29,,,55727,1.9.9.6.1.23(ID FAN SUCTION BOX (PGMA 55727))
3488,Manufacturing ,MFG,2024-03-30,2024-07-07,,,55727,1.9.9.6.1.23(ID FAN SUCTION BOX (PGMA 55727))
